"Présentoir";"SKU";"Produit";"Catégorie";"Quantité";"Prix unitaire HT (€)";"Total ligne HT (€)";"Image"
"Petit présentoir comptoir";"F6000";"Cable F6000 lightning 1M White";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg"
"Petit présentoir comptoir";"F6002";"Cable F6002 White Type-c";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg"
"Petit présentoir comptoir";"F8000";"Cable F8000 20W PD White";"Câbles";"6";"2.30";"13.80";"https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg"
"Petit présentoir comptoir";"F8005";"Cable F8005 C to C 60W WAX White";"Câbles";"5";"2.20";"11.00";"https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg"
"Petit présentoir comptoir";"J8518";"Charger J8518 White";"Chargeurs secteur";"6";"1.50";"9.00";"https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg"
"Petit présentoir comptoir";"J8540";"Charger J8540 20W PD";"Chargeurs secteur";"4";"3.50";"14.00";"https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg"
"Petit présentoir comptoir";"K6052";"Headphone K6052 New modele";"Audio";"6";"2.00";"12.00";"https://lcd-phone.com/51961-home_default/ecouteurs-kit-main-libre-jack-d-power-k6052-blanc.jpg"
"Petit présentoir comptoir";"K6009/C6009";"Headphone K6009/C6009 IP";"Audio";"5";"5.50";"27.50";"https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg"
"Petit présentoir comptoir";"K6055";"Headphone K6055 Type-c White For IP15/15 Pro";"Audio";"5";"3.00";"15.00";"https://lcd-phone.com/61068-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6055-pour-ip-1515pro-blanc.jpg"
"Petit présentoir comptoir";"J8230/J8233";"Adaptor J8230/J8233 16A White";"Adaptateurs";"3";"2.00";"6.00";"https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg"
"Présentoir moyen";"F6000";"Cable F6000 lightning 1M White";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg"
"Présentoir moyen";"F6007";"Cable F6007 White Micro 1M";"Câbles";"5";"1.20";"6.00";"https://lcd-phone.com/59158-home_default/cable-usb-micro-d-power-f6007-1m-blanc.jpg"
"Présentoir moyen";"F6002";"Cable F6002 White Type-c";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg"
"Présentoir moyen";"F8000";"Cable F8000 20W PD White";"Câbles";"6";"2.30";"13.80";"https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg"
"Présentoir moyen";"F8002";"Cable F8002 USB-C To Lightning 2M";"Câbles";"5";"2.70";"13.50";"https://lcd-phone.com/41858-home_default/cable-type-c-lightning-d-power-f8002-2m-blanc.jpg"
"Présentoir moyen";"F9000";"Cable F9000 USB-C TO USB-C 1M";"Câbles";"6";"1.70";"10.20";"https://lcd-phone.com/41861-home_default/cable-type-c-type-c-d-power-f9000-1m-blanc.jpg"
"Présentoir moyen";"F9002";"Cable F9002 USB-C 2M";"Câbles";"5";"2.20";"11.00";"https://lcd-phone.com/42020-home_default/cable-type-c-type-c-d-power-f9002-2m-blanc.jpg"
"Présentoir moyen";"F8005";"Cable F8005 C to C 60W WAX White";"Câbles";"5";"2.20";"11.00";"https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg"
"Présentoir moyen";"F2002";"Cable 2M F2002 White Type-C";"Câbles";"4";"1.70";"6.80";"https://lcd-phone.com/41871-home_default/cable-usb-type-c-d-power-f2002-2m-blanc.jpg"
"Présentoir moyen";"F2003";"Cable 2M F2003 Lightning";"Câbles";"4";"1.80";"7.20";"https://lcd-phone.com/41877-home_default/cable-usb-lightning-d-power-f2003-2m-blanc.jpg"
"Présentoir moyen";"J8501";"Charger J8501 White Fast";"Chargeurs secteur";"5";"2.50";"12.50";"https://lcd-phone.com/41912-home_default/adaptateur-secteur-usb-a-recharge-rapide-d-power-j8501-blanc.jpg"
"Présentoir moyen";"J8505";"Charger J8505 IP 1A White";"Chargeurs secteur";"5";"2.50";"12.50";"https://lcd-phone.com/41920-home_default/kit-chargeur-lightning-a-recharge-rapide-d-power-j80505-1a-blanc-.jpg"
"Présentoir moyen";"J8516";"Charger J8516 White Type-C";"Chargeurs secteur";"4";"3.70";"14.80";"https://lcd-phone.com/41936-home_default/kit-chargeur-usb-usb-c-d-power-j8516-blanc.jpg"
"Présentoir moyen";"J8518";"Charger J8518 White";"Chargeurs secteur";"6";"1.50";"9.00";"https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg"
"Présentoir moyen";"J8540";"Charger J8540 20W PD";"Chargeurs secteur";"4";"3.50";"14.00";"https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg"
"Présentoir moyen";"J8542";"Charger J8542 20W PD+Usb-c to IP";"Chargeurs secteur";"3";"5.00";"15.00";"https://lcd-phone.com/41955-home_default/kit-chargeur-type-c-lightning-20w-pd-d-power-j8542-blanc.jpg"
"Présentoir moyen";"K6052";"Headphone K6052 New modele";"Audio";"5";"2.00";"10.00";"https://lcd-phone.com/51961-home_default/ecouteurs-kit-main-libre-jack-d-power-k6052-blanc.jpg"
"Présentoir moyen";"K6009";"Headphone K6009/C6009 IP";"Audio";"5";"5.50";"27.50";"https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg"
"Présentoir moyen";"K6055";"Headphone K6055 Type-c White For IP15/15 Pro";"Audio";"5";"3.00";"15.00";"https://lcd-phone.com/61068-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6055-pour-ip-1515pro-blanc.jpg"
"Présentoir moyen";"K6201";"Headphone Wireless K61/K6201 White";"Audio";"3";"12.00";"36.00";"https://lcd-phone.com/58013-home_default/ecouteurs-bluetooth-d-power-k66-blanc-.jpg"
"Présentoir moyen";"K6202";"Headphone Wireless K6202 White";"Audio";"3";"13.00";"39.00";"https://lcd-phone.com/64117-home_default/ecouteurs-bluetooth-d-power-k6202-blanc.jpg"
"Présentoir moyen";"P8589";"Power bank P8589 White 10000mAh";"Batteries externes";"3";"10.90";"32.70";"https://lcd-phone.com/59151-home_default/power-bank-10000mah-d-power-p8283-blanc.jpg"
"Présentoir moyen";"P8200";"Powerbank P8200 5000mAh PD 22,5W Connecteur Lightning";"Batteries externes";"3";"9.50";"28.50";"https://lcd-phone.com/75183-home_default/power-bank-5000mah-225w-d-power-p8200-lightning-type-c-blanc.jpg"
"Présentoir moyen";"J8266";"Charger J8266 QC3,0+PD 20W";"Chargeurs secteur";"4";"5.00";"20.00";"https://lcd-phone.com/81723-home_default/adaptateur-secteur-20w-usb-a-usb-c-d-power-j8266.jpg"
"Présentoir moyen";"J8544";"Charger J8544 25W PD White";"Chargeurs secteur";"4";"4.00";"16.00";"https://lcd-phone.com/41983-home_default/adaptateur-secteur-type-c-25w-pd-d-power-j8544-blanc.jpg"
"Présentoir moyen";"J8548";"Charger J8548 25W PD Black + Cable C to C";"Câbles";"3";"5.00";"15.00";"https://lcd-phone.com/61561-home_default/kit-chargeur-type-c-type-c-samsung-25w-d-power-j8548-noir.jpg"
"Présentoir moyen";"J8230/J8233";"Adaptor J8230/J8233 16A White";"Adaptateurs";"3";"2.00";"6.00";"https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg"
"Grand présentoir";"F6000";"Cable F6000 lightning 1M White";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg"
"Grand présentoir";"F6007";"Cable F6007 White Micro 1M";"Câbles";"6";"1.20";"7.20";"https://lcd-phone.com/59158-home_default/cable-usb-micro-d-power-f6007-1m-blanc.jpg"
"Grand présentoir";"F6002";"Cable F6002 White Type-c";"Câbles";"6";"1.00";"6.00";"https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg"
"Grand présentoir";"F6006";"Cable F6006 White Ip 1M";"Câbles";"5";"1.50";"7.50";"https://lcd-phone.com/41819-home_default/cable-usb-lightning-d-power-f6006-1m-blanc.jpg"
"Grand présentoir";"F8000";"Cable F8000 20W PD White";"Câbles";"6";"2.30";"13.80";"https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg"
"Grand présentoir";"F8002";"Cable F8002 USB-C To Lightning 2M";"Câbles";"5";"2.70";"13.50";"https://lcd-phone.com/41858-home_default/cable-type-c-lightning-d-power-f8002-2m-blanc.jpg"
"Grand présentoir";"F9000";"Cable F9000 USB-C TO USB-C 1M";"Câbles";"6";"1.70";"10.20";"https://lcd-phone.com/41861-home_default/cable-type-c-type-c-d-power-f9000-1m-blanc.jpg"
"Grand présentoir";"F9002";"Cable F9002 USB-C 2M";"Câbles";"5";"2.20";"11.00";"https://lcd-phone.com/42020-home_default/cable-type-c-type-c-d-power-f9002-2m-blanc.jpg"
"Grand présentoir";"F8005";"Cable F8005 C to C 60W WAX White";"Câbles";"5";"2.20";"11.00";"https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg"
"Grand présentoir";"F2001";"Cable 2M F2001 White Mirco Usb";"Câbles";"4";"1.70";"6.80";"https://lcd-phone.com/41867-home_default/cable-usb-micro-usb-d-power-f2001-2m-noir.jpg"
"Grand présentoir";"F2002";"Cable 2M F2002 White Type-C";"Câbles";"4";"1.70";"6.80";"https://lcd-phone.com/41871-home_default/cable-usb-type-c-d-power-f2002-2m-blanc.jpg"
"Grand présentoir";"F2003";"Cable 2M F2003 Lightning";"Câbles";"4";"1.80";"7.20";"https://lcd-phone.com/41877-home_default/cable-usb-lightning-d-power-f2003-2m-blanc.jpg"
"Grand présentoir";"J8501";"Charger J8501 White Fast";"Chargeurs secteur";"5";"2.50";"12.50";"https://lcd-phone.com/41912-home_default/adaptateur-secteur-usb-a-recharge-rapide-d-power-j8501-blanc.jpg"
"Grand présentoir";"J8503";"Car charger J8503 White 2 Ports";"Chargeurs voiture";"4";"2.20";"8.80";"https://lcd-phone.com/41882-home_default/chargeur-allume-cigare-2-ports-usb-d-power-j8503-blanc.jpg"
"Grand présentoir";"J8507";"Car charger J8507 White PD 38W";"Chargeurs voiture";"4";"3.70";"14.80";"https://lcd-phone.com/41893-home_default/chargeur-allume-cigare-2-ports-usb-type-c-d-power-j8507-blanc.jpg"
"Grand présentoir";"J8509";"J8509 Car Charger USB + C FM";"Chargeurs voiture";"2";"5.90";"11.80";"https://lcd-phone.com/71436-home_default/transmetteur-fm-bluetooth-audio-et-chargeur-usb-rapide-20w-d-power-j8509-noir.jpg"
"Grand présentoir";"J8505";"Charger J8505 IP 1A White";"Chargeurs secteur";"5";"2.50";"12.50";"https://lcd-phone.com/41920-home_default/kit-chargeur-lightning-a-recharge-rapide-d-power-j80505-1a-blanc-.jpg"
"Grand présentoir";"J8514";"Charger J8514 White Micro";"Chargeurs secteur";"4";"3.50";"14.00";"https://lcd-phone.com/41935-home_default/kit-chargeur-usb-micro-d-power-j8514-blanc.jpg"
"Grand présentoir";"J8516";"Charger J8516 White Type-C";"Chargeurs secteur";"4";"3.70";"14.80";"https://lcd-phone.com/41936-home_default/kit-chargeur-usb-usb-c-d-power-j8516-blanc.jpg"
"Grand présentoir";"J8518";"Charger J8518 White";"Chargeurs secteur";"6";"1.50";"9.00";"https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg"
"Grand présentoir";"J8540";"Charger J8540 20W PD";"Chargeurs secteur";"4";"3.50";"14.00";"https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg"
