"SKU";"Produit";"Catégorie";"Prix de gros HT (€)";"Minimum de commande configuré";"Stock initial";"Qté petit présentoir";"Qté présentoir moyen";"Qté grand présentoir";"Présentoirs";"Prix cohérent";"Image"
"J8230/J8233";"Adaptor J8230/J8233 16A White";"Adaptateurs";"2.00";"3";"100";"3";"3";"0";"Petit présentoir comptoir | Présentoir moyen";"Oui";"https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg"
"J8230";"Adaptor J8230/J8233 16A White";"Adaptateurs";"2.00";"3";"100";"0";"0";"3";"Grand présentoir";"Oui";"https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg"
"K6000";"Headphone K6000/C6000 S8 Black";"Audio";"2.70";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41961-home_default/ecouteurs-kit-main-libre-d-power-k6000c6000-s8-noir.jpg"
"K6001";"Headphone K6001 White S3";"Audio";"1.95";"5";"100";"0";"0";"5";"Grand présentoir";"Oui";"https://lcd-phone.com/41962-home_default/ecouteurs-kit-main-libre-jack-d-power-k6001-s3-blanc.jpg"
"K6009/C6009";"Headphone K6009/C6009 IP";"Audio";"5.50";"5";"100";"5";"0";"0";"Petit présentoir comptoir";"Oui";"https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg"
"K6009";"Headphone K6009/C6009 IP";"Audio";"5.50";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg"
"K6011";"Headphone K6011 White";"Audio";"1.00";"5";"100";"0";"0";"5";"Grand présentoir";"Oui";"https://lcd-phone.com/41965-home_default/ecouteurs-kit-main-libre-jack-35mm-d-power-k6011-noir.jpg"
"K6035";"Headphone K6035 Type-c";"Audio";"2.80";"5";"100";"0";"0";"5";"Grand présentoir";"Oui";"https://lcd-phone.com/41967-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6035c6035-blanc.jpg"
"K6052";"Headphone K6052 New modele";"Audio";"2.00";"5";"100";"6";"5";"5";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/51961-home_default/ecouteurs-kit-main-libre-jack-d-power-k6052-blanc.jpg"
"K6053";"Headphone K6053 Bluetooth 7/8";"Audio";"3.00";"5";"100";"0";"0";"5";"Grand présentoir";"Oui";"https://lcd-phone.com/51965-home_default/ecouteurs-kit-main-libre-lightning-bluetooth-d-power-k6053-blanc.jpg"
"K6055";"Headphone K6055 Type-c White For IP15/15 Pro";"Audio";"3.00";"5";"100";"5";"5";"5";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/61068-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6055-pour-ip-1515pro-blanc.jpg"
"K6201";"Headphone Wireless K61/K6201 White";"Audio";"12.00";"3";"100";"0";"3";"3";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/58013-home_default/ecouteurs-bluetooth-d-power-k66-blanc-.jpg"
"K6202";"Headphone Wireless K6202 White";"Audio";"13.00";"3";"100";"0";"3";"3";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/64117-home_default/ecouteurs-bluetooth-d-power-k6202-blanc.jpg"
"K6203";"Headphone Wireless K6203/AV2100 White";"Audio";"9.00";"3";"100";"0";"0";"3";"Grand présentoir";"Oui";"https://lcd-phone.com/134464-home_default/ecouteurs-bluetooth-d-power-k6203av2100-blanc.jpg"
"P8283";"Power bank P8283 White 10000mAh";"Batteries externes";"10.00";"3";"100";"0";"0";"3";"Grand présentoir";"Oui";"https://lcd-phone.com/54789-home_default/power-bank-10000mah-d-power-p8283-blanc.jpg"
"P8582";"Power bank P8582 White 5000mAh";"Batteries externes";"7.50";"3";"100";"0";"0";"3";"Grand présentoir";"Oui";"https://lcd-phone.com/41975-home_default/power-bank-5000mah-d-power-p8582-blanc.jpg"
"P8589";"Power bank P8589 White 10000mAh";"Batteries externes";"10.90";"3";"100";"0";"3";"0";"Présentoir moyen";"Oui";"https://lcd-phone.com/59151-home_default/power-bank-10000mah-d-power-p8283-blanc.jpg"
"P8200";"Powerbank P8200 5000mAh PD 22,5W Connecteur Lightning";"Batteries externes";"9.50";"3";"100";"0";"3";"3";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/75183-home_default/power-bank-5000mah-225w-d-power-p8200-lightning-type-c-blanc.jpg"
"F2001";"Cable 2M F2001 White Mirco Usb";"Câbles";"1.70";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41867-home_default/cable-usb-micro-usb-d-power-f2001-2m-noir.jpg"
"F2002";"Cable 2M F2002 White Type-C";"Câbles";"1.70";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41871-home_default/cable-usb-type-c-d-power-f2002-2m-blanc.jpg"
"F2003";"Cable 2M F2003 Lightning";"Câbles";"1.80";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41877-home_default/cable-usb-lightning-d-power-f2003-2m-blanc.jpg"
"F6000";"Cable F6000 lightning 1M White";"Câbles";"1.00";"6";"100";"6";"6";"6";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg"
"F6002";"Cable F6002 White Type-c";"Câbles";"1.00";"6";"100";"6";"6";"6";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg"
"F6006";"Cable F6006 White Ip 1M";"Câbles";"1.50";"5";"100";"0";"0";"5";"Grand présentoir";"Oui";"https://lcd-phone.com/41819-home_default/cable-usb-lightning-d-power-f6006-1m-blanc.jpg"
"F6007";"Cable F6007 White Micro 1M";"Câbles";"1.20";"6";"100";"0";"5";"6";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/59158-home_default/cable-usb-micro-d-power-f6007-1m-blanc.jpg"
"F8000";"Cable F8000 20W PD White";"Câbles";"2.30";"6";"100";"6";"6";"6";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg"
"F8002";"Cable F8002 USB-C To Lightning 2M";"Câbles";"2.70";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41858-home_default/cable-type-c-lightning-d-power-f8002-2m-blanc.jpg"
"F8005";"Cable F8005 C to C 60W WAX White";"Câbles";"2.20";"5";"100";"5";"5";"5";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg"
"F9000";"Cable F9000 USB-C TO USB-C 1M";"Câbles";"1.70";"6";"100";"0";"6";"6";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41861-home_default/cable-type-c-type-c-d-power-f9000-1m-blanc.jpg"
"F9002";"Cable F9002 USB-C 2M";"Câbles";"2.20";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/42020-home_default/cable-type-c-type-c-d-power-f9002-2m-blanc.jpg"
"J8548";"Charger J8548 25W PD Black + Cable C to C";"Câbles";"5.00";"3";"100";"0";"3";"3";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/61561-home_default/kit-chargeur-type-c-type-c-samsung-25w-d-power-j8548-noir.jpg"
"P8285";"PowerBank P8285 Magsafe 10000mAh Black PD22,5W With LED 4 Cable";"Câbles";"18.00";"3";"100";"0";"0";"2";"Grand présentoir";"Oui";"https://lcd-phone.com/126880-home_default/power-bank-magnetique-10000mah-pd-225w-d-power-p8285.jpg"
"CH1200";"Charger A018/CH1200 20W PD White";"Chargeurs secteur";"2.50";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/133751-home_default/adaptateur-secteur-type-c-20w-pd-d-power-a018-blanc.jpg"
"J8266";"Charger J8266 QC3,0+PD 20W";"Chargeurs secteur";"5.00";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/81723-home_default/adaptateur-secteur-20w-usb-a-usb-c-d-power-j8266.jpg"
"J8269";"Charger J8269 PD+QC 40W 2USB+2USB-C White";"Chargeurs secteur";"6.50";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/89207-home_default/chargeur-pdqc-2usb-2usb-c-40w-d-power-j8269-blanc.jpg"
"J8501";"Charger J8501 White Fast";"Chargeurs secteur";"2.50";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41912-home_default/adaptateur-secteur-usb-a-recharge-rapide-d-power-j8501-blanc.jpg"
"J8505";"Charger J8505 IP 1A White";"Chargeurs secteur";"2.50";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41920-home_default/kit-chargeur-lightning-a-recharge-rapide-d-power-j80505-1a-blanc-.jpg"
